,success,timestamp,historical,base,date,rates
0,True,1705276799,True,EUR,2024-01-14,"{'USD': 1.094517, 'GBP': 0.859393, 'CHF': 0.93405}"
1,True,1705363199,True,EUR,2024-01-15,"{'USD': 1.094547, 'GBP': 0.860916, 'CHF': 0.936844}"
2,True,1705449599,True,EUR,2024-01-16,"{'USD': 1.087831, 'GBP': 0.86078, 'CHF': 0.937167}"
3,True,1705535999,True,EUR,2024-01-17,"{'USD': 1.088518, 'GBP': 0.858699, 'CHF': 0.94092}"
4,True,1705622399,True,EUR,2024-01-18,"{'USD': 1.087867, 'GBP': 0.855971, 'CHF': 0.944426}"
5,True,1705708799,True,EUR,2024-01-19,"{'USD': 1.09146, 'GBP': 0.859147, 'CHF': 0.947719}"
6,True,1705795199,True,EUR,2024-01-20,"{'USD': 1.09146, 'GBP': 0.859147, 'CHF': 0.947725}"
7,True,1705881599,True,EUR,2024-01-21,"{'USD': 1.089147, 'GBP': 0.85773, 'CHF': 0.945998}"
8,True,1705967999,True,EUR,2024-01-22,"{'USD': 1.087725, 'GBP': 0.856094, 'CHF': 0.945396}"
9,True,1706054399,True,EUR,2024-01-23,"{'USD': 1.085676, 'GBP': 0.855518, 'CHF': 0.944234}"
10,True,1706140799,True,EUR,2024-01-24,"{'USD': 1.088181, 'GBP': 0.855549, 'CHF': 0.93916}"
11,True,1706227199,True,EUR,2024-01-25,"{'USD': 1.084658, 'GBP': 0.853555, 'CHF': 0.940505}"
12,True,1706313599,True,EUR,2024-01-26,"{'USD': 1.086361, 'GBP': 0.854797, 'CHF': 0.938066}"
13,True,1706399999,True,EUR,2024-01-27,"{'USD': 1.086361, 'GBP': 0.854797, 'CHF': 0.938139}"
14,True,1706486399,True,EUR,2024-01-28,"{'USD': 1.084299, 'GBP': 0.853983, 'CHF': 0.937078}"
15,True,1706572799,True,EUR,2024-01-29,"{'USD': 1.083394, 'GBP': 0.852231, 'CHF': 0.933214}"
16,True,1706659199,True,EUR,2024-01-30,"{'USD': 1.084311, 'GBP': 0.854133, 'CHF': 0.934594}"
17,True,1706745599,True,EUR,2024-01-31,"{'USD': 1.080339, 'GBP': 0.852172, 'CHF': 0.931733}"
18,True,1706831999,True,EUR,2024-02-01,"{'USD': 1.087435, 'GBP': 0.853126, 'CHF': 0.932671}"
19,True,1706918399,True,EUR,2024-02-02,"{'USD': 1.080672, 'GBP': 0.855503, 'CHF': 0.93713}"
20,True,1707004799,True,EUR,2024-02-03,"{'USD': 1.080672, 'GBP': 0.855436, 'CHF': 0.936959}"
21,True,1707091199,True,EUR,2024-02-04,"{'USD': 1.07801, 'GBP': 0.853924, 'CHF': 0.934651}"
22,True,1707177599,True,EUR,2024-02-05,"{'USD': 1.074143, 'GBP': 0.856994, 'CHF': 0.935326}"
23,True,1707263999,True,EUR,2024-02-06,"{'USD': 1.075662, 'GBP': 0.853393, 'CHF': 0.935374}"
24,True,1707350399,True,EUR,2024-02-07,"{'USD': 1.077522, 'GBP': 0.853376, 'CHF': 0.941927}"
25,True,1707436799,True,EUR,2024-02-08,"{'USD': 1.077673, 'GBP': 0.853964, 'CHF': 0.94138}"
26,True,1707523199,True,EUR,2024-02-09,"{'USD': 1.078457, 'GBP': 0.854408, 'CHF': 0.943694}"
27,True,1707609599,True,EUR,2024-02-10,"{'USD': 1.078457, 'GBP': 0.853953, 'CHF': 0.943618}"
28,True,1707695999,True,EUR,2024-02-11,"{'USD': 1.079791, 'GBP': 0.854498, 'CHF': 0.943975}"
29,True,1707782399,True,EUR,2024-02-12,"{'USD': 1.07718, 'GBP': 0.853121, 'CHF': 0.94347}"
30,True,1707868799,True,EUR,2024-02-13,"{'USD': 1.07095, 'GBP': 0.850602, 'CHF': 0.950511}"
31,True,1707955199,True,EUR,2024-02-14,"{'USD': 1.073174, 'GBP': 0.853914, 'CHF': 0.950078}"
32,True,1708041599,True,EUR,2024-02-15,"{'USD': 1.077337, 'GBP': 0.855135, 'CHF': 0.947911}"
33,True,1708127999,True,EUR,2024-02-16,"{'USD': 1.07776, 'GBP': 0.855229, 'CHF': 0.949133}"
34,True,1708214399,True,EUR,2024-02-17,"{'USD': 1.07776, 'GBP': 0.855229, 'CHF': 0.949219}"
35,True,1708300799,True,EUR,2024-02-18,"{'USD': 1.078464, 'GBP': 0.855211, 'CHF': 0.949814}"
36,True,1708387199,True,EUR,2024-02-19,"{'USD': 1.077499, 'GBP': 0.856057, 'CHF': 0.951261}"
37,True,1708473599,True,EUR,2024-02-20,"{'USD': 1.08114, 'GBP': 0.856284, 'CHF': 0.953398}"
38,True,1708559999,True,EUR,2024-02-21,"{'USD': 1.081994, 'GBP': 0.85618, 'CHF': 0.951408}"
39,True,1708646399,True,EUR,2024-02-22,"{'USD': 1.082521, 'GBP': 0.854855, 'CHF': 0.952678}"
40,True,1708732799,True,EUR,2024-02-23,"{'USD': 1.083364, 'GBP': 0.854456, 'CHF': 0.954}"
41,True,1708819199,True,EUR,2024-02-24,"{'USD': 1.083364, 'GBP': 0.854456, 'CHF': 0.954}"
42,True,1708905599,True,EUR,2024-02-25,"{'USD': 1.081964, 'GBP': 0.853816, 'CHF': 0.953546}"
43,True,1708991999,True,EUR,2024-02-26,"{'USD': 1.085057, 'GBP': 0.855296, 'CHF': 0.955128}"
44,True,1709078399,True,EUR,2024-02-27,"{'USD': 1.084362, 'GBP': 0.855112, 'CHF': 0.9531}"
45,True,1709164799,True,EUR,2024-02-28,"{'USD': 1.083793, 'GBP': 0.856078, 'CHF': 0.952476}"
46,True,1709251199,True,EUR,2024-02-29,"{'USD': 1.080444, 'GBP': 0.855798, 'CHF': 0.955764}"
47,True,1709337599,True,EUR,2024-03-01,"{'USD': 1.085065, 'GBP': 0.857284, 'CHF': 0.959644}"
48,True,1709423999,True,EUR,2024-03-02,"{'USD': 1.085065, 'GBP': 0.857284, 'CHF': 0.959472}"
49,True,1709510399,True,EUR,2024-03-03,"{'USD': 1.084223, 'GBP': 0.856431, 'CHF': 0.957775}"
50,True,1709596799,True,EUR,2024-03-04,"{'USD': 1.085464, 'GBP': 0.855291, 'CHF': 0.961071}"
51,True,1709683199,True,EUR,2024-03-05,"{'USD': 1.085582, 'GBP': 0.854489, 'CHF': 0.959291}"
52,True,1709769599,True,EUR,2024-03-06,"{'USD': 1.0899, 'GBP': 0.855839, 'CHF': 0.961532}"
53,True,1709855999,True,EUR,2024-03-07,"{'USD': 1.094984, 'GBP': 0.854527, 'CHF': 0.96063}"
54,True,1709942399,True,EUR,2024-03-08,"{'USD': 1.094446, 'GBP': 0.851378, 'CHF': 0.960709}"
55,True,1710028799,True,EUR,2024-03-09,"{'USD': 1.094446, 'GBP': 0.851179, 'CHF': 0.960641}"
56,True,1710115199,True,EUR,2024-03-10,"{'USD': 1.094266, 'GBP': 0.851256, 'CHF': 0.960295}"
57,True,1710201599,True,EUR,2024-03-11,"{'USD': 1.093093, 'GBP': 0.852687, 'CHF': 0.958981}"
58,True,1710287999,True,EUR,2024-03-12,"{'USD': 1.092747, 'GBP': 0.85402, 'CHF': 0.958798}"
59,True,1710374399,True,EUR,2024-03-13,"{'USD': 1.095351, 'GBP': 0.855639, 'CHF': 0.962205}"
60,True,1710460799,True,EUR,2024-03-14,"{'USD': 1.088311, 'GBP': 0.853894, 'CHF': 0.962426}"
61,True,1710547199,True,EUR,2024-03-15,"{'USD': 1.089858, 'GBP': 0.855932, 'CHF': 0.964093}"
62,True,1710633599,True,EUR,2024-03-16,"{'USD': 1.089858, 'GBP': 0.856067, 'CHF': 0.964017}"
63,True,1710719999,True,EUR,2024-03-17,"{'USD': 1.088234, 'GBP': 0.854798, 'CHF': 0.961618}"
64,True,1710806399,True,EUR,2024-03-18,"{'USD': 1.087346, 'GBP': 0.854388, 'CHF': 0.965085}"
65,True,1710892799,True,EUR,2024-03-19,"{'USD': 1.086301, 'GBP': 0.854105, 'CHF': 0.965293}"
66,True,1710979199,True,EUR,2024-03-20,"{'USD': 1.093691, 'GBP': 0.854588, 'CHF': 0.968644}"
67,True,1711065599,True,EUR,2024-03-21,"{'USD': 1.086195, 'GBP': 0.857937, 'CHF': 0.97518}"
68,True,1711151999,True,EUR,2024-03-22,"{'USD': 1.086361, 'GBP': 0.862123, 'CHF': 0.97532}"
69,True,1711238399,True,EUR,2024-03-23,"{'USD': 1.086361, 'GBP': 0.862123, 'CHF': 0.975492}"
70,True,1711324799,True,EUR,2024-03-24,"{'USD': 1.080743, 'GBP': 0.857861, 'CHF': 0.970134}"
71,True,1711411199,True,EUR,2024-03-25,"{'USD': 1.083799, 'GBP': 0.857621, 'CHF': 0.974921}"
72,True,1711497599,True,EUR,2024-03-26,"{'USD': 1.083207, 'GBP': 0.85778, 'CHF': 0.978899}"
73,True,1711583999,True,EUR,2024-03-27,"{'USD': 1.081309, 'GBP': 0.857099, 'CHF': 0.979346}"
74,True,1711670399,True,EUR,2024-03-28,"{'USD': 1.079273, 'GBP': 0.854838, 'CHF': 0.972765}"
75,True,1711756799,True,EUR,2024-03-29,"{'USD': 1.079971, 'GBP': 0.855355, 'CHF': 0.97425}"
76,True,1711843199,True,EUR,2024-03-30,"{'USD': 1.079971, 'GBP': 0.855355, 'CHF': 0.97425}"
77,True,1711929599,True,EUR,2024-03-31,"{'USD': 1.079249, 'GBP': 0.854053, 'CHF': 0.973526}"
78,True,1712015999,True,EUR,2024-04-01,"{'USD': 1.073698, 'GBP': 0.855899, 'CHF': 0.971837}"
79,True,1712102399,True,EUR,2024-04-02,"{'USD': 1.076815, 'GBP': 0.856218, 'CHF': 0.977619}"
80,True,1712188799,True,EUR,2024-04-03,"{'USD': 1.083829, 'GBP': 0.856604, 'CHF': 0.978676}"
81,True,1712275199,True,EUR,2024-04-04,"{'USD': 1.083656, 'GBP': 0.857333, 'CHF': 0.977003}"
82,True,1712361599,True,EUR,2024-04-05,"{'USD': 1.084775, 'GBP': 0.858276, 'CHF': 0.978146}"
83,True,1712447999,True,EUR,2024-04-06,"{'USD': 1.084775, 'GBP': 0.858344, 'CHF': 0.97834}"
84,True,1712534399,True,EUR,2024-04-07,"{'USD': 1.083025, 'GBP': 0.857865, 'CHF': 0.97822}"
85,True,1712620799,True,EUR,2024-04-08,"{'USD': 1.086246, 'GBP': 0.858199, 'CHF': 0.983128}"
86,True,1712707199,True,EUR,2024-04-09,"{'USD': 1.085859, 'GBP': 0.856558, 'CHF': 0.980641}"
87,True,1712793599,True,EUR,2024-04-10,"{'USD': 1.074131, 'GBP': 0.856781, 'CHF': 0.980794}"
88,True,1712879999,True,EUR,2024-04-11,"{'USD': 1.072645, 'GBP': 0.854404, 'CHF': 0.975989}"
89,True,1712966399,True,EUR,2024-04-12,"{'USD': 1.067065, 'GBP': 0.856693, 'CHF': 0.97558}"
90,True,1713016324,True,EUR,2024-04-13,"{'USD': 1.067065, 'GBP': 0.856598, 'CHF': 0.975494}"
